wind_speed,wind_direction,turbulence_intensity,num_turbines,wind_direction_sin,wind_direction_cos,wind_speed_squared,wind_speed_cubed,wake_adjusted_wind,prediction_kw
11.895602,4.331056,0.06,77.0,0.07551922,0.99714434,141.50536,1683.2914,11.181866,261254.81
11.812108,146.23668,0.08,147.0,0.55576354,-0.83134043,139.5259,1648.095,10.86714,498759.25
18.939415,175.693,0.08,51.0,0.075100675,-0.99717593,358.70145,6793.595,17.424261,173039.14
15.719173,188.88055,0.08,101.0,-0.15437508,-0.9880123,247.0924,3884.0884,14.461639,342686.53
18.777122,246.33704,0.06,51.0,-0.9159222,-0.4013558,352.58032,6620.444,17.650496,173039.11
5.6090126,226.27592,0.06,101.0,-0.72267675,-0.69118613,31.461023,176.46527,5.272472,49400.914
4.989022,119.17978,0.1,87.0,0.8730942,-0.48755157,24.890339,124.17844,4.4901195,35469.83
16.118711,73.441345,0.1,145.0,0.95852846,0.28499675,259.81287,4187.8486,14.506841,491974.38
8.083117,331.4233,0.1,147.0,-0.47833464,0.87817764,65.33677,528.12476,7.274805,260448.45
16.285608,266.60306,0.08,51.0,-0.998243,-0.059253097,265.22104,4319.286,14.982759,173039.14
4.1455083,103.98757,0.08,188.0,0.9703482,-0.24171142,17.18524,71.241554,3.8138676,30241.855
9.769556,44.212883,0.06,101.0,0.6973263,0.71675384,95.44423,932.4477,9.183383,267781.16
15.490671,98.37681,0.1,145.0,0.98933136,-0.14568259,239.96089,3717.1553,13.941604,491976.0
16.727837,140.14404,0.06,147.0,0.6408597,-0.767658,279.82053,4680.792,15.724167,498759.38
14.55226,330.36948,0.06,101.0,-0.494405,0.86923164,211.76828,3081.7073,13.679125,342685.53
18.103619,318.41782,0.08,145.0,-0.66369367,0.7480045,327.741,5933.2983,16.655329,491973.7
12.27362,229.28833,0.1,188.0,-0.7580015,-0.6522528,150.64174,1848.9194,11.046258,637358.8
16.833824,96.12252,0.06,77.0,0.9942961,-0.10665489,283.37762,4770.329,15.823794,261254.94
18.70961,161.57654,0.06,77.0,0.31603757,-0.9487467,350.0495,6549.2896,17.587034,261255.08
7.76198,105.97679,0.08,188.0,0.96137327,-0.27524796,60.248333,467.64636,7.1410217,236476.48
6.944071,115.381645,0.08,101.0,0.90347266,-0.42864573,48.22012,334.84393,6.388545,97735.09
15.458039,339.93088,0.08,51.0,-0.34315354,0.9392793,238.95097,3693.7136,14.221396,173039.9
7.629518,350.16138,0.08,188.0,-0.17087372,0.9852929,58.209545,444.11078,7.0191565,223077.5
12.278136,66.05746,0.08,87.0,0.9139529,0.4058203,150.75262,1850.9613,11.295885,295184.34
7.2397,271.46854,0.06,147.0,-0.9996716,0.02562799,52.413254,379.45624,6.805318,171784.89
15.198842,245.05508,0.1,77.0,-0.90671366,-0.42174673,231.0048,3511.0054,13.678958,261256.53
5.5441732,244.76059,0.1,147.0,-0.904534,-0.42640156,30.737858,170.416,4.989756,78209.25
4.4598675,328.18237,0.08,145.0,-0.5272172,0.84973055,19.890417,88.708626,4.103078,34479.35
8.894911,259.44193,0.08,147.0,-0.9830697,-0.18323205,79.11944,703.7604,8.183318,260913.9
15.860431,85.67507,0.1,147.0,0.9971524,0.07541258,251.55327,3989.7432,14.274387,498761.56
21.115185,192.39163,0.1,147.0,-0.21459268,-0.97670364,445.85104,9414.227,19.003666,498761.8
19.502913,276.3131,0.08,147.0,-0.9939358,0.10996175,380.3636,7418.1978,17.94268,498761.03
13.973214,274.17575,0.1,77.0,-0.9973454,0.072816096,195.25072,2728.28,12.575892,261255.08
19.686703,312.65384,0.08,77.0,-0.7354607,0.67756736,387.56625,7629.902,18.111767,261256.16
10.314455,338.3755,0.1,51.0,-0.3685223,0.9296189,106.387985,1097.3341,9.28301,169405.4
9.319736,280.81158,0.1,77.0,-0.9822493,0.18757991,86.85747,809.48865,8.387762,198366.62
8.930298,201.40561,0.1,101.0,-0.36496794,-0.9310201,79.75022,712.19324,8.037268,219593.25
9.426443,40.219334,0.1,101.0,0.64571536,0.7635782,88.85783,837.6133,8.483799,244799.53
4.002747,262.64514,0.1,87.0,-0.99177235,-0.12801425,16.021984,64.13195,3.6024723,16510.385
11.280025,333.41595,0.08,147.0,-0.4475101,0.8942789,127.23895,1435.2585,10.377623,498759.53
2.3998272,20.166132,0.06,188.0,0.3447434,0.938697,5.759171,13.821015,2.2558377,0.0
9.630176,275.57578,0.1,77.0,-0.9952686,0.097162105,92.74028,893.1052,8.667158,216035.2
22.604233,249.0019,0.08,147.0,-0.9335924,-0.35833687,510.95135,11549.663,20.795895,498759.62
9.200609,65.38134,0.06,77.0,0.9091005,0.4165769,84.65121,778.8427,8.648573,165574.89
6.1649837,344.27737,0.08,101.0,-0.2709806,0.9625848,38.007023,234.31268,5.671785,67765.36
9.38176,51.650043,0.08,51.0,0.78423566,0.6204631,88.01741,825.75824,8.631219,135295.28
6.1061487,208.29042,0.1,145.0,-0.473941,-0.8805566,37.285053,227.66808,5.495534,111606.14
2.1737595,331.85788,0.08,188.0,-0.47166023,0.8817804,4.72523,10.271514,1.9998587,0.0
17.246445,331.99512,0.1,101.0,-0.4695468,0.88290757,297.43985,5129.78,15.5218,342685.1
5.581248,312.7988,0.08,87.0,-0.73374414,0.6794259,31.150328,173.8577,5.134748,50621.832
15.354469,201.78398,0.06,51.0,-0.37110823,-0.92858964,235.75972,3619.9656,14.433201,173040.03
4.228031,188.08688,0.1,51.0,-0.14067459,-0.99005586,17.876247,75.58133,3.805228,10938.107
21.41186,5.8951054,0.06,101.0,0.102707565,0.9947116,458.46774,9816.646,20.127148,342686.56
9.070275,210.02806,0.06,101.0,-0.5004241,-0.8657804,82.2699,746.2106,8.526059,217858.19
16.776793,159.93758,0.1,147.0,0.34304374,-0.93931943,281.46075,4722.009,15.099113,498759.47
6.5016637,77.818665,0.06,147.0,0.9774847,0.21100639,42.27163,274.83594,6.1115637,97698.11
6.8613615,32.3454,0.06,188.0,0.53502196,0.84483814,47.07828,323.02112,6.44968,161673.81
14.302416,289.94153,0.1,101.0,-0.9400412,0.341061,204.5591,2925.6892,12.872174,342685.34
4.069215,41.377884,0.1,101.0,0.66102225,0.7503663,16.55851,67.380135,3.6622934,16812.682
4.0818243,118.95677,0.06,188.0,0.8749852,-0.4841496,16.66129,68.00845,3.8369148,26335.951
13.734783,95.72959,0.08,51.0,0.9950041,-0.09983365,188.64427,2590.988,12.636001,173039.03
5.574394,193.98654,0.08,188.0,-0.24169397,-0.97035253,31.073872,173.218,5.128443,86888.35
13.551451,319.46408,0.06,87.0,-0.64992464,0.7599987,183.64182,2488.613,12.738363,295184.28
12.627697,111.335655,0.1,188.0,0.93146497,-0.36383095,159.45872,2013.5966,11.364927,637869.8
14.480457,34.96783,0.06,147.0,0.5731164,0.819474,209.68364,3036.315,13.6116295,498760.4
3.0582807,245.987,0.1,188.0,-0.91345316,-0.40694392,9.353081,28.604347,2.7524526,4793.5176
18.823166,182.53676,0.1,77.0,-0.044260323,-0.99902004,354.31158,6669.2656,16.94085,261255.16
10.813057,92.67246,0.1,145.0,0.9989124,-0.04662636,116.9222,1264.2864,9.731751,491974.78
19.20224,257.49243,0.08,188.0,-0.9762674,-0.21656857,368.726,7080.3657,17.666061,637870.0
12.710815,171.56401,0.1,77.0,0.14670439,-0.9891804,161.56483,2053.6206,11.4397335,261255.36
13.201955,51.31116,0.06,147.0,0.7805522,0.6250906,174.29161,2300.99,12.409838,498759.7
16.553951,4.381255,0.1,51.0,0.07639283,0.9970778,274.0333,4536.334,14.898556,173039.02
17.29855,165.20824,0.06,188.0,0.25530678,-0.9668601,299.2398,5176.415,16.260637,637869.3
14.147015,350.82056,0.08,188.0,-0.15952702,0.9871936,200.13802,2831.3555,13.015253,637869.56
13.344586,215.48317,0.06,87.0,-0.58046377,-0.81428605,178.07799,2376.377,12.543911,295184.38
6.5151725,322.64545,0.06,145.0,-0.60674554,0.7948961,42.44747,276.5526,6.1242623,108004.39
6.3172464,89.717766,0.1,188.0,0.99998784,0.004925896,39.907604,252.10616,5.6855216,136186.88
14.1983185,114.743324,0.06,101.0,0.9081919,-0.41855392,201.59225,2862.271,13.346419,342685.22
19.844952,85.56973,0.08,145.0,0.9970121,0.07724573,393.8221,7815.381,18.257355,491976.0
10.1019945,165.31526,0.1,101.0,0.25350028,-0.9673353,102.05029,1030.9115,9.091795,302015.0
12.816414,94.917244,0.06,101.0,0.99631953,-0.085716784,164.26047,2105.23,12.047429,342533.66
16.137276,350.35583,0.1,147.0,-0.16752873,0.9858672,260.41168,4202.335,14.523548,498760.2
9.49842,60.719727,0.08,87.0,0.8722377,0.4890822,90.21998,856.9472,8.738546,256006.77
14.372372,88.23448,0.06,87.0,0.9995253,0.03080923,206.56506,2968.8298,13.51003,295184.6
9.496664,152.117,0.08,147.0,0.46766752,-0.88390446,90.18663,856.4721,8.736931,422601.22
4.429758,1.0891094,0.06,147.0,0.019007402,0.99981934,19.622757,86.924065,4.1639724,38943.977
15.652532,306.0591,0.1,188.0,-0.80841017,0.5886196,245.00174,3834.8975,14.087278,637872.4
6.6085157,132.40277,0.1,101.0,0.73842275,-0.6743381,43.67248,288.61026,5.9476643,85014.46
8.57572,133.54935,0.06,51.0,0.7247813,-0.6889791,73.54297,630.6839,8.061176,101017.805
19.261293,251.58723,0.06,147.0,-0.9488057,-0.31586045,370.99744,7145.89,18.105616,498760.3
6.710164,130.12029,0.06,87.0,0.7646933,-0.6443944,45.026302,302.13388,6.3075542,87683.52
11.030043,355.70792,0.1,145.0,-0.07484095,0.9971955,121.66184,1341.9353,9.927038,491974.1
7.038445,92.2567,0.06,77.0,0.9992244,-0.03937664,49.539707,348.6825,6.6161385,85108.63
19.363123,179.82059,0.1,77.0,0.0031313398,-0.9999951,374.93054,7259.826,17.426811,261255.73
7.672627,247.39725,0.06,87.0,-0.9231917,-0.3843397,58.869205,451.68146,7.2122693,133419.47
11.4368305,60.516724,0.06,188.0,0.8704994,0.4921695,130.80109,1495.95,10.750621,625582.2
4.467617,123.73648,0.1,51.0,0.83160067,-0.555374,19.959602,89.17186,4.0208554,13699.541
11.766768,255.27962,0.08,101.0,-0.9671774,-0.25410202,138.45683,1629.1896,10.825427,342281.66
10.321398,307.63007,0.06,101.0,-0.79196936,0.61056083,106.53125,1099.5514,9.702114,307819.84
11.816269,281.1618,0.08,87.0,-0.9810844,0.19358036,139.6242,1649.8373,10.870968,295184.1
12.575867,57.631992,0.08,87.0,0.84462696,0.53535527,158.15242,1988.9038,11.5697975,295184.6
6.2261267,126.7684,0.06,188.0,0.80106163,-0.5985819,38.764652,241.35364,5.852559,123524.35
19.917625,257.10867,0.08,77.0,-0.974795,-0.22310255,396.7118,7901.557,18.324215,261256.1
15.693535,239.51996,0.1,51.0,-0.8618059,-0.5072382,246.28703,3865.1143,14.124182,173039.62
12.513843,185.08932,0.06,101.0,-0.08870872,-0.9960576,156.59625,1959.6208,11.763012,342681.84
18.264168,24.926676,0.06,145.0,0.42145807,0.9068479,333.57983,6092.558,17.168318,491973.72
14.07708,5.150926,0.06,101.0,0.08977957,0.99596167,198.16417,2789.573,13.232455,342685.25
3.2638316,109.69087,0.1,145.0,0.9415242,-0.33694527,10.652596,34.768284,2.9374485,11058.31
11.630853,39.338524,0.06,77.0,0.63390106,0.7734142,135.27673,1573.3838,10.9330015,258720.52
8.785751,356.56088,0.1,77.0,-0.059987888,0.9981991,77.18943,678.1671,7.907176,180159.45
5.63847,253.0138,0.06,101.0,-0.9563751,-0.29214147,31.792345,179.2602,5.300162,50476.242
5.113735,55.336807,0.1,77.0,0.8225096,0.5687513,26.150288,133.72565,4.6023617,28293.174
13.049053,325.23853,0.1,51.0,-0.5701613,0.8215328,170.27779,2221.9639,11.744148,173039.17
4.466546,127.77312,0.08,188.0,0.7904425,-0.61253625,19.950033,89.10774,4.1092224,41536.44
4.1928415,243.32515,0.06,51.0,-0.8935685,-0.4489268,17.57992,73.709816,3.941271,10267.469
11.327783,241.9702,0.06,87.0,-0.8827033,-0.46993074,128.31866,1453.5659,10.648116,295184.22
19.258667,153.46603,0.1,87.0,0.44672826,-0.8946697,370.89624,7142.9673,17.3328,295184.88
8.989271,280.18472,0.08,145.0,-0.9842428,0.17682232,80.807,726.396,8.270129,358689.1
16.472946,257.4952,0.1,145.0,-0.9762779,-0.21652125,271.35794,4470.065,14.825651,491973.75
7.2869368,168.46019,0.06,188.0,0.20004876,-0.9797859,53.09945,386.9323,6.8497205,189421.83
6.04045,329.3179,0.06,101.0,-0.51027423,0.86001176,36.487038,220.39813,5.678023,64888.008
8.891652,96.33904,0.08,51.0,0.99388593,-0.11041159,79.06148,702.9871,8.18032,113749.45
19.267553,183.57039,0.06,145.0,-0.062274717,-0.99805903,371.23862,7152.86,18.1115,491974.75
11.556186,53.309578,0.08,147.0,0.80187553,0.5974911,133.54543,1543.2758,10.631691,498759.38
